time sec,time nanosec,position X,position Y,position Z,orientation X,orientation Y,orientation Z,orientation W
1714371907.5815947,485,766692001,-12.125295288058297,1.8299329359942562,0.019195252904500075,0.0010319474967880788,4.643021404549037e-06,0.6561792134088168,0.7546043830730065
1714371907.6986454,485,783358668,-12.124422700072312,1.8362331499318498,0.019193006757240085,0.0010350858605325654,6.671628395509913e-06,0.6568359937333931,0.7540327618141117
1714371907.8028774,485,800025336,-12.123563460751527,1.8425269265222644,0.019192510279899478,0.001034541571332751,4.194325329279151e-06,0.6574998699158208,0.7534539473430502
1714371907.9125254,485,816692003,-12.122714714268898,1.8488149810307815,0.019190480691729024,0.0010374204333092657,5.6016093754767064e-06,0.658158498184171,0.7528786854436929
1714371908.008857,485,833358671,-12.121880270092086,1.855100889723283,0.01919023208525167,0.0010363947201695615,2.875604601417058e-06,0.658824282090543,0.7522961459462593
1714371908.1090574,485,850025339,-12.121054412832398,1.8613839373632954,0.01918755327963385,0.0010392351234093267,4.842671599507674e-06,0.6594843408955916,0.7517175826601463
1714371908.20961,485,866692006,-12.120243810291635,1.8676688922999338,0.019187461626910207,0.0010394038733587026,2.605245586796834e-06,0.6601523292221373,0.7511310284200672
1714371908.3013718,485,883358674,-12.119443701497694,1.8739517014333198,0.019185270619696552,0.001042332565000377,4.831428790621779e-06,0.660817990783684,0.7505454660286053
1714371908.416862,485,900025341,-12.118653126697671,1.8802342721156318,0.01918482324285094,0.0010424910055075447,2.5670747801441455e-06,0.6614902110395119,0.74995307446854
1714371908.511677,485,916692009,-12.117874952152064,1.8865177964297348,0.019182815971998134,0.001044867668272467,4.551631138057903e-06,0.662157839985346,0.7493636655034586
1714371908.6065834,485,933358676,-12.11710917319325,1.8928032280501632,0.019182199233292042,0.0010449412663145646,2.1778740103577447e-06,0.6628347094613893,0.7487650205680302
1714371908.7197757,485,950025344,-12.116351025131632,1.8990893749001603,0.019180640899671232,0.0010471320883950988,3.3396573630560134e-06,0.6635047823381995,0.7481713088040564
1714371908.8155353,485,966692011,-12.115607182266904,1.9053771906312733,0.01917904560809533,0.0010473215130290434,2.101028318612958e-06,0.6641808172547791,0.7475712307894198
1714371908.9107387,485,983358679,-12.114871921174974,1.9116616684729786,0.019178268566481044,0.0010470339426658045,5.121962076452764e-06,0.6648481502792921,0.7469778047331073
1714371909.0193942,486,25346,-12.114150011244044,1.9179521067335032,0.0191776914751168,0.0010473516792118016,1.7316718108934102e-06,0.665524721531812,0.7463750719855705
1714371909.1285906,486,16692014,-12.113436685978614,1.9242434986389096,0.0191761146940334,0.0010529784876656722,3.2944804134527e-06,0.6661653470226643,0.745803339796507
1714371909.221747,486,33358681,-12.112737664247332,1.9305332215654012,0.019175544035199436,0.0010529750856770224,1.4121522705511238e-06,0.6667724195944407,0.7452606468274371
1714371909.3199704,486,50025349,-12.112044366485108,1.9368217523793338,0.019173760541451857,0.0010538065990136679,2.495823254220695e-06,0.6673564841388744,0.7447376803702247
1714371909.413105,486,66692017,-12.111363464773325,1.943109806313779,0.019173069557163504,0.0010538119887076901,1.145468124490507e-06,0.6679308933952529,0.7442225548363874
1714371909.50568,486,83358684,-12.110692101065817,1.9493976217969629,0.019171589009014684,0.0010554127161197294,2.9070559815394295e-06,0.6684923075906879,0.7437183074172806
1714371909.5970967,486,100025352,-12.110031227526742,1.9556854372442736,0.019170274079892358,0.001055987417755183,2.2356995733012287e-06,0.6690482389764684,0.7432182309443586
1714371909.7147138,486,116692019,-12.109377983375085,1.9619739679212236,0.01916897122897664,0.0010564107228319861,3.090113763277075e-06,0.6695895077561479,0.7427306208106109
1714371909.8081427,486,133358687,-12.108735226472364,1.9682641674924901,0.019169681738645923,0.0010573312864302574,1.2832583458614042e-06,0.6701269614485178,0.742245739353673
1714371909.9027107,486,150025354,-12.108100103582398,1.9745555591303392,0.019167483702555187,0.0010587112321034276,2.5430279026404724e-06,0.6706521958388294,0.7417711987807403
1714371909.997637,486,166692022,-12.107478329954791,1.9808495733269884,0.01916667770834423,0.00105937349330447,1.6873980437578318e-06,0.6711759406818735,0.7412973319625241
1714371910.0928805,486,183358689,-12.106860372522926,1.9871416801618853,0.01916492408027003,0.001060215653201689,3.128484938160362e-06,0.6716857379116656,0.7408354374751808
1714371910.2064288,486,200025357,-12.106251949757743,1.993437124824364,0.019164496850328908,0.0010605115359617714,1.6688908318542436e-06,0.6721932109946146,0.7403750147089287
1714371910.3035882,486,216692024,-12.105651157981674,1.9997325694606702,0.01916306842095187,0.0010616981218916004,3.0297708992756747e-06,0.6726888816663201,0.7399246862150458
1714371910.400954,486,233358692,-12.10506180765073,2.0060308750809024,0.019163327036724853,0.0010621021069972551,9.33297670182101e-07,0.6731845529565886,0.7394737517984538
1714371910.5127108,486,250025359,-12.104476275358834,2.012328227013613,0.019161475729452815,0.0010635184992780118,4.147443662420821e-06,0.6736658587427505,0.7390353034027487
1714371910.6115198,486,266692027,-12.103901231073218,2.0186279630963417,0.019161160946156254,0.0010622068684536614,1.0465582478326282e-06,0.6741478223378297,0.7385956846290367
1714371910.7082243,486,283358694,-12.103333817685614,2.0249286528272195,0.01915990456792868,0.001064134955230106,4.034785721874647e-06,0.6746161339206749,0.7381679615469907
1714371910.8135161,486,300025362,-12.102786430208075,2.031091774969485,0.019159156741083046,0.0010637298166614347,3.4288134908757056e-06,0.6750827784216437,0.7377412220729125
1714371910.909056,486,316692030,-12.102261931405037,2.0370481881253193,0.019157670303718177,0.0010660895920778088,4.782355954759263e-06,0.6755280822969374,0.7373334886320659
1714371911.0071821,486,333358697,-12.101768901911862,2.0428620268632645,0.01915712776745118,0.0010668576589583545,4.536662559834842e-06,0.6759693939251931,0.7369289248432045
1714371911.1174576,486,350025365,-12.101279688293907,2.048580259737871,0.0191556376037238,0.001066821558395535,4.2556544655792825e-06,0.6763921691679501,0.7365408986349145
1714371911.2301798,486,366692032,-12.1008114530941,2.0542341195244536,0.01915555156470981,0.0010668709524109584,4.357693242983814e-06,0.6768101163721071,0.736156863816236
1714371911.3263786,486,383358700,-12.100345126596986,2.05984315661157,0.019154514875201308,0.0010671419226372294,4.643739142690928e-06,0.6772103012383717,0.7357887394376096
1714371911.449544,486,400025367,-12.099895011838244,2.0654254907623977,0.01915389128351598,0.0010683838586939712,5.401813919714535e-06,0.6776114390084634,0.7354193336128921
1714371911.5491195,486,416692035,-12.099446804216507,2.0709880361646427,0.019153360119601903,0.0010694004223800774,4.975814739274454e-06,0.678001371297252,0.7350598593835904
1714371911.650653,486,433358702,-12.099004319106815,2.0765372301068603,0.019152510190156354,0.0010686721572880757,4.514542507230535e-06,0.6783879671106462,0.7347030856059636
1714371911.7783673,486,450025370,-12.098568508645714,2.0820790330503387,0.01915232647996032,0.0010700791817159247,4.987192522939328e-06,0.678765560943196,0.7343542525124651
1714371911.8750384,486,466692037,-12.098142235695876,2.0876143986595217,0.019151651229177825,0.0010689005400767787,4.426706184241947e-06,0.6791444681224028,0.7340038479809069
1714371911.9745529,486,483358705,-12.097716916547652,2.09314594956817,0.019150888081582818,0.0010713050607150615,5.531716326635638e-06,0.6795125244330714,0.7336631252921614
1714371912.068906,486,500025372,-12.097305902913531,2.098675354660654,0.0191498793602981,0.001070524587921812,5.350881899385426e-06,0.6798860072800917,0.7333170331126979
1714371912.180491,486,516692040,-12.096893934709861,2.104204759756441,0.019149435372647235,0.0010708520557122306,5.463407206887482e-06,0.6802502505413234,0.7329791606072391
1714371912.2793539,486,533358708,-12.096488642496226,2.1097327343179053,0.019148823139857416,0.0010699118892478383,4.536951791926886e-06,0.6806136603414645,0.7326417273296402
1714371912.3984025,486,550025375,-12.096088119682097,2.1152595167701143,0.01914756280578783,0.0010722803060858425,7.062196237651664e-06,0.6809689613006231,0.7323114937717562
1714371912.5035355,486,566692043,-12.095695224038709,2.1207872528706453,0.0191477152573055,0.001070389468246364,3.806728271746191e-06,0.681327543882173,0.7319778905126718
1714371912.5978796,486,583358710,-12.09530614469032,2.126314512120895,0.019146860470292085,0.0010731565612847216,6.864928037816878e-06,0.6816766456495095,0.7316527858649217
1714371912.7044556,486,600025378,-12.09492087956587,2.1318427250324334,0.019146309745191666,0.0010725470499846125,5.972902043484438e-06,0.6820271805988882,0.7313260384612883
1714371912.7980618,486,616692045,-12.09454133727977,2.1373702226686246,0.019145261439986024,0.0010727754369764017,6.572739018688263e-06,0.6823701451042553,0.7310060425058459
1714371912.8926775,486,633358713,-12.094166562749193,2.142898673962849,0.019144608113330432,0.0010726794981394598,6.26714144293179e-06,0.6827130502612957,0.7306858013690528
1714371912.988962,486,650025380,-12.093799417181406,2.148427840486733,0.019144235085446812,0.0010740297674012792,7.335000612583858e-06,0.6830521395806487,0.7303688253345392
1714371913.0848253,486,666692048,-12.093436087012998,2.1539567685789556,0.019143421062431613,0.0010747695197049693,7.695337720343837e-06,0.6833904545234007,0.7300522799618949
1714371913.1823418,486,683358715,-12.093078477806321,2.1594880808374466,0.019143301550501052,0.0010756739671170393,6.933986886405574e-06,0.683724000969888,0.7297399080324201
1714371913.2808053,486,700025383,-12.092723730230725,2.1650189162489646,0.01914279913824334,0.0010751808449852302,7.015160720800371e-06,0.6840565948490339,0.7294281451798271
1714371913.3817594,486,716692050,-12.092372798431953,2.1705495132288037,0.019141617312573717,0.0010752855379457143,8.190019783962877e-06,0.6843806648012561,0.7291240973525194
1714371913.4808514,486,733358718,-12.092040939104397,2.1759420657861237,0.019140793517111464,0.0010748733397380507,9.283390236089357e-06,0.6847089670864744,0.7288158031714841
1714371913.5854254,486,750025385,-12.091722428827426,2.1811236178553455,0.01914103395299141,0.0010756048176536208,7.863375977967212e-06,0.6850253475524976,0.7285184391784627
1714371913.682178,486,766692053,-12.091417271280932,2.1861630724056687,0.019140163048697065,0.001075592411230741,8.240650052649002e-06,0.6853341588267711,0.7282279408112949
1714371913.7761343,486,783358721,-12.091121648298554,2.191106921073237,0.019140469537871886,0.0010782004923950272,8.111387723603555e-06,0.6856325372270612,0.7279470182049557
1714371913.8869216,486,800025388,-12.090835563804694,2.1959852045988373,0.019139539433374687,0.0010767810660592908,6.295551946325825e-06,0.6859294883054234,0.7276672162300303
1714371913.981686,486,816692056,-12.09055329309836,2.2008196190928704,0.019139092207563674,0.0010781682559249245,8.396134776409238e-06,0.686214754666458,0.7273982045350192
